ID,Name,Bid Recommendation
1902,C. Cueva,7910653
1933,K. Traoré,8216674.5
2399,K. Konaté,3204843.8
2724,C. Keşerü,1037283.5
3625,R. Varga,791917.9
3710,Y. Ouattara,651092.56
4121,J. Campos,2742799.5
4217,Shikabala,737179.5
7596,C. Cortés,170811.88
8635,S. Ishizaki,-125186.91
